turns,storeChars,retainedGlyphs,retainedNodes,frameGlyphs,fps,frameMsAvg,wasmMiB,phAdvance,phBfLayout,phBfGrid,phBfEmit,phBfTotal,phAdvIngest,phAdvRoles,phAdvReveal,phAdvEnsure,phAdvSchedule,tierHot,tierWarm,rebuilds
8,20136,9016,1280,1616,6,139.99,22.6,58.5,0.3,0.3,0.7,1.3,0,0,0,58.2,0.2,4,4,4
8,20136,9016,1280,1616,6,139.99,22.6,58.5,0.3,0.3,0.7,1.3,0,0,0,58.2,0.2,4,4,4
8,20136,9016,1280,1616,6,139.99,22.6,58.5,0.3,0.3,0.7,1.3,0,0,0,58.2,0.2,4,4,4
11,27732,9061,1280,1657,3,18.07,22.6,0.2,0.3,0.3,0.5,1.1,0,0,0.1,0,0,4,7,0
23,58476,11495,1600,1657,44,14.28,22.6,19.5,0.3,0.5,0.5,1.6,1.5,0,1.1,16.3,0.6,5,18,1
36,91782,9196,1280,1657,49,13.79,22.6,0.4,0.6,0.5,0.4,1.5,0.2,0,0,0,0.2,4,32,0
42,107154,9196,1280,1657,17,13.61,22.6,0.4,0.5,0.5,0.6,1.6,0.2,0,0,0,0.2,4,38,0
42,107154,9196,1280,1657,17,13.61,22.6,0.4,0.5,0.5,0.6,1.6,0.2,0,0,0,0.2,4,38,0
43,109716,9196,1280,1657,2,12.55,22.6,0.4,0.4,0.5,0.5,1.4,0.2,0.1,0,0,0.1,4,39,0
51,130212,9196,1280,1657,31,13.48,22.6,0.3,0.7,0.5,0.4,1.7,0.2,0.1,0,0,0,4,47,0
66,168642,9196,1280,1657,53,14.14,22.6,0.4,0.6,0.7,0.6,1.9,0.3,0,0,0,0.1,4,62,0
78,199386,11495,1600,1657,38,14.48,22.6,15.1,0.6,0.6,0.5,1.9,1.5,0.1,2.1,11.1,0.3,5,73,1
79,201948,11495,1600,1657,3,12.67,22.6,15.2,0.6,0.6,0.5,1.8,1.4,0,2.3,11.1,0.4,5,74,1
79,201948,11495,1600,1657,3,12.67,22.6,15.2,0.6,0.6,0.5,1.8,1.4,0,2.3,11.1,0.4,5,74,1
79,201948,9196,1280,1657,2,8.57,22.6,0.5,0.6,0.6,0.5,1.7,0.3,0.1,0,0,0.1,4,75,0
90,230130,9196,1280,1657,41,14.4,22.6,0.5,0.7,0.7,0.5,1.9,0.4,0,0,0,0.1,4,86,0
103,263571,9331,1280,1576,49,14.41,22.6,0.5,0.8,0.9,0.5,2.2,0.4,0,0,0,0.1,4,99,0
113,289641,9376,1280,1689,31,15,22.6,1.7,1.4,1,0.6,3,1.3,0,0,0,0.3,4,109,0
113,289641,9376,1280,1689,31,15,22.6,1.7,1.4,1,0.6,3,1.3,0,0,0,0.3,4,109,0
113,289641,9376,1280,1689,1,9.2,22.6,0.5,0.8,0.9,0.5,2.2,0.5,0,0,0,0,4,109,0
114,292248,9376,1280,1689,2,15.97,22.6,0.6,0.7,1,0.6,2.3,0.4,0.1,0,0,0.1,4,110,0
125,320925,9376,1280,1576,43,14.76,22.6,0.6,0.9,1,0.5,2.4,0.5,0,0,0,0.1,4,121,0
138,354816,9376,1280,1576,47,16,22.6,0.6,1,1.2,0.5,2.7,0.5,0.1,0,0,0,4,134,0
138,354816,9376,1280,1576,47,16,23.1,0.6,1,1.2,0.5,2.7,0.5,0.1,0,0,0,4,134,0
146,375672,9376,1280,1576,22,14.77,23.4,0.6,0.9,1.1,0.5,2.5,0.5,0,0.1,0,0,4,142,0
146,375672,9376,1280,1576,22,14.77,23.4,0.6,0.9,1.1,0.5,2.5,0.5,0,0.1,0,0,4,142,0
147,378279,9376,1280,1576,2,13.65,23.4,0.7,1,1.3,0.5,2.8,0.6,0.1,0,0,0,4,143,0
157,404349,11720,1600,1576,34,15.98,24.8,18.6,1.1,1.2,0.5,2.9,1.8,0,3,13.5,0.3,5,152,1
170,438240,11720,1600,1576,48,16.07,26.6,20.5,1.3,1.4,0.5,3.4,2.8,0.2,3.6,13.5,0.4,5,165,1
179,461703,9376,1280,1576,34,15.92,27.4,0.9,1.2,2.5,0.5,4.2,0.7,0,0,0,0.2,4,175,0
180,464310,11720,1600,1576,3,15.6,27.5,16.9,1.2,1.5,0.5,3.4,1.8,0,3.4,11.3,0.3,5,175,1
180,464310,11720,1600,1576,3,15.6,27.5,16.9,1.2,1.5,0.5,3.4,1.8,0,3.4,11.3,0.3,5,175,1
180,464310,9376,1280,1576,1,10.1,27.5,0.8,1.2,1.3,0.5,3,0.7,0.1,0,0,0,4,176,0
190,490380,9376,1280,1576,35,17.07,28.9,0.9,1.3,1.9,0.7,3.9,0.7,0.1,0,0,0.1,4,186,0
200,516450,9376,1280,1576,50,15.67,30,1.4,1.5,1.8,0.6,3.9,1.3,0,0,0,0.1,4,196,0
200,516450,9376,1280,1576,50,15.67,30,1.4,1.5,1.8,0.6,3.9,1.3,0,0,0,0.1,4,196,0
200,516450,9376,1280,1576,34,11.76,30,0.8,1.3,1.8,0.4,3.5,0.7,0.1,0,0,0,4,196,0
200,516450,9376,1280,1576,2,10.75,30,0.9,1.4,1.9,0.7,4.1,0.7,0.1,0,0,0.1,4,196,0
200,516450,9376,1280,1576,2,11.37,30,0.9,1.2,1.7,0.5,3.4,0.7,0.1,0,0,0.1,4,196,0
