turns,storeChars,retainedGlyphs,retainedNodes,frameGlyphs,fps,frameMsAvg,wasmMiB,phAdvance,phBfLayout,phBfGrid,phBfEmit,phBfTotal,phAdvIngest,phAdvRoles,phAdvReveal,phAdvEnsure,phAdvSchedule,tierHot,tierWarm,rebuilds
7,17619,9016,1280,1625,25,24.58,21.3,0.2,0.1,0.1,0.3,0.5,0.1,0,0,0,0.1,4,3,0
24,61038,9196,1280,1657,60,5.82,21.3,0.1,0.1,0,0.3,0.4,0.1,0,0,0,0,4,3,0
40,102030,9196,1280,1657,60,4.72,21.3,0.3,0.3,0,0.3,0.6,0.1,0,0,0,0,4,3,0
57,145584,11495,1600,1657,60,5.48,21.3,8.1,0.3,0,0.2,0.7,1.2,0,1.1,5.7,0.1,5,3,1
73,186576,11495,1600,1657,60,5.41,21.3,7.9,0.2,0.1,0.2,0.7,0.9,0,1.3,5.6,0.1,5,3,1
89,227568,9196,1280,1657,60,5.42,21.3,0.3,0.2,0,0.2,0.4,0.2,0.1,0,0,0,4,3,0
105,268785,9376,1280,1576,60,5.39,21.3,0.2,0.2,0.1,0.2,0.5,0.1,0,0,0,0.1,4,3,0
121,310497,9376,1280,1576,60,5.6,21.3,0.2,0.3,0,0.3,0.6,0.2,0,0,0,0,4,3,0
137,352209,9376,1280,1576,60,5.62,21.3,0.4,0.6,0,0.2,0.9,0.3,0,0,0.1,0,4,3,0
153,393921,9376,1280,1576,60,5.66,21.3,0.3,0.4,0,0.2,0.6,0.3,0,0,0,0,4,3,0
170,438240,11720,1600,1576,60,5.79,21.3,6.9,0.4,0,0.2,0.8,0.9,0,1.5,4.5,0,5,3,1
186,479952,11720,1600,1576,60,5.78,21.3,8.8,0.3,0.1,0.2,0.8,1.4,0,2.2,5,0.2,5,3,1
200,516450,9376,1280,1576,60,5.65,21.3,0.5,0.8,0,0.3,1.1,0.4,0,0,0,0.1,4,3,0
200,516450,9376,1280,1576,60,4.12,21.3,0.4,0.8,0,0.3,1.1,0.3,0,0,0,0.1,4,3,0
200,516450,9376,1280,1576,60,4.51,21.3,0.7,0.8,0,0.3,1.1,0.6,0,0,0,0.1,4,3,0
200,516450,9376,1280,1576,60,4.34,21.3,0.3,0.5,0.1,0.1,0.7,0.2,0,0,0,0,4,3,0
200,516450,9376,1280,1576,60,4.36,21.3,0.4,0.5,0,0.2,0.7,0.4,0,0,0,0,4,3,0
200,516450,9376,1280,1576,60,4.45,21.3,0.2,0.6,0,0.2,0.8,0.2,0,0,0,0,4,3,0
200,516450,9376,1280,1576,60,4.29,21.3,0.3,0.6,0.1,0.2,0.9,0.3,0,0,0,0,4,3,0
200,516450,9376,1280,1576,60,4.44,21.3,0.3,0.6,0,0.2,0.8,0.3,0,0,0,0,4,3,0
200,516450,9376,1280,1576,60,4.35,21.3,0.4,0.5,0,0.2,0.7,0.3,0,0,0,0.1,4,3,0
